Name,Energy Type,Set Name,Set Code,Card Number,Card Type,HP,Attacks,Weakness,Retreat Cost,Illustrator,Flavor Text,Image URL,Rarity,Pack,Local Image Path
Buizel,Water,Space-Time Smackdown,A2,38,Pokémon - Basic,60,"[{'name': 'Water Gun', 'cost': ['W'], 'damage': '20', 'effect': ''}]",Lightning,1,OKUBO,It spins its two tails like a screw to propel itself through water. The tails also slice clinging seaweed.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_038_EN.webp,◊,,cards/space-time-smackdown/38.webp
Floatzel,Water,Space-Time Smackdown,A2,39,Pokémon - Stage 1 - Evolves from Buizel,90,"[{'name': 'Jet Screw', 'cost': ['W'], 'damage': '30+', 'effect': 'Flip a coin. If heads, this attack does 30 more damage.'}]",Lightning,1,Kanako Eo,"With its flotation sac inflated, it can carry people on its back. It deflates the sac before it dives.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_039_EN.webp,◊◊,,cards/space-time-smackdown/39.webp
Shellos,Water,Space-Time Smackdown,A2,40,Pokémon - Basic,70,"[{'name': 'Mud-Slap', 'cost': ['WC'], 'damage': '30', 'effect': ''}]",Lightning,2,Teeziro,It used to have a shell on its back long ago. This species is closely related to Pokémon like Shellder.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_040_EN.webp,◊,Palkia,cards/space-time-smackdown/40.webp
Gastrodon,Water,Space-Time Smackdown,A2,41,Pokémon - Stage 1 - Evolves from Shellos,120,"[{'name': 'Muddy Water', 'cost': ['WCC'], 'damage': '60', 'effect': ""This attack also does 20 damage to 1 of your opponent's Benched Pokémon.""}]",Lightning,3,Aya Kusube,"They normally inhabit rocky seashores, but in times of continuous rain, they can sometimes be found in the mountains, far from the sea.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_041_EN.webp,◊◊,Palkia,cards/space-time-smackdown/41.webp
Finneon,Water,Space-Time Smackdown,A2,42,Pokémon - Basic,50,"[{'name': 'Elegant Swim', 'cost': ['W'], 'damage': '10', 'effect': ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""}]",Lightning,1,Shigenori Negishi,The line running down its side can store sunlight. It shines vividly at night.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_042_EN.webp,◊,,cards/space-time-smackdown/42.webp
Lumineon,Water,Space-Time Smackdown,A2,43,Pokémon - Stage 1 - Evolves from Finneon,90,"[{'name': 'Waterfall', 'cost': ['W'], 'damage': '50', 'effect': ''}]",Lightning,1,rika,"With its shining light, it lures its prey close. However, the light also happens to attract ferocious fish Pokémon—its natural predators.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_043_EN.webp,◊◊,,cards/space-time-smackdown/43.webp
Snover,Water,Space-Time Smackdown,A2,44,Pokémon - Basic,70,"[{'name': 'Ice Shard', 'cost': ['W'], 'damage': '10+', 'effect': ""If your opponent's Active Pokémon is a [F] Pokémon, this attack does 30 more damage.""}]",Metal,2,match,"During cold seasons, it migrates to the mountain’s lower reaches. It returns to the snow-covered summit in the spring.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_044_EN.webp,◊,,cards/space-time-smackdown/44.webp
Abomasnow,Water,Space-Time Smackdown,A2,45,Pokémon - Stage 1 - Evolves from Snover,140,"[{'name': 'Frost Breath', 'cost': ['WWWC'], 'damage': '120', 'effect': ''}]",Metal,4,Shin Nagasawa,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_045_EN.webp,◊◊,,cards/space-time-smackdown/45.webp
Glaceon,Water,Space-Time Smackdown,A2,46,Pokémon - Stage 1 - Evolves from Eevee,90,"[{'name': 'Ice Beam', 'cost': ['WW'], 'damage': '60', 'effect': ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",Metal,1,Naoyo Kimura,"It can control its body temperature at will. This enables it to freeze the moisture in the atmosphere, creating flurries of diamond dust.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_046_EN.webp,◊◊◊,Palkia,cards/space-time-smackdown/46.webp
Wash Rotom,Water,Space-Time Smackdown,A2,47,Pokémon - Basic,80,"[{'name': 'Wave Splash', 'cost': ['W'], 'damage': '30', 'effect': ''}]",Lightning,2,Saboteri,This Rotom has entered a washing machine. It nods with satisfaction after it floods the surrounding area.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_047_EN.webp,◊,,cards/space-time-smackdown/47.webp
Frost Rotom,Water,Space-Time Smackdown,A2,48,Pokémon - Basic,80,"[{'name': 'Blizzard', 'cost': ['WW'], 'damage': '30', 'effect': ""This attack also does 10 damage to each of your opponent's Benched Pokémon.""}]",Metal,1,MAHOU,This Rotom has entered a refrigerator. It leaps around gleefully after it uses cold air to freeze the area around it.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_048_EN.webp,◊,,cards/space-time-smackdown/48.webp
Palkia ex,Water,Space-Time Smackdown,A2,49,Pokémon - Basic,150,"[{'name': 'Slash', 'cost': ['W'], 'damage': '30', 'effect': ''}, {'name': 'Dimensional Storm', 'cost': ['WWWC'], 'damage': '150', 'effect': ""Discard 3 [W] Energy from this Pokémon. This attack also does 20 damage to each of your opponent's Benched Pokémon.""}]",Lightning,2,PLANETA CG Works,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_049_EN.webp,◊◊◊◊,Palkia,cards/space-time-smackdown/49.webp
Manaphy,Water,Space-Time Smackdown,A2,50,Pokémon - Basic,50,"[{'name': 'Oceanic Gift', 'cost': ['W'], 'damage': '0', 'effect': 'Choose 2 of your Benched Pokémon. For each of those Pokémon, take a [W] Energy from your Energy Zone and attach it to that Pokémon.'}]",Lightning,1,MINAMINAMI Take,It is born with a wondrous power that lets it bond with any kind of Pokémon.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_050_EN.webp,◊◊,Palkia,cards/space-time-smackdown/50.webp
Magnemite,Lightning,Space-Time Smackdown,A2,51,Pokémon - Basic,60,"[{'name': 'Ram', 'cost': ['C'], 'damage': '10', 'effect': ''}]",Fighting,1,MAHOU,"The electromagnetic waves emitted by the units at the sides of its head expel antigravity, which allows it to float.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_051_EN.webp,◊,,cards/space-time-smackdown/51.webp
Magneton,Lightning,Space-Time Smackdown,A2,52,Pokémon - Stage 1 - Evolves from Magnemite,80,"[{'name': 'Lightning Ball', 'cost': ['LL'], 'damage': '50', 'effect': ''}]",Fighting,1,Yumi,Three Magnemite are linked by a strong magnetic force. Earaches will occur if you get too close.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_052_EN.webp,◊◊,,cards/space-time-smackdown/52.webp
Magnezone,Lightning,Space-Time Smackdown,A2,53,Pokémon - Stage 2 - Evolves from Magneton,140,"[{'name': 'Thunder Blast', 'cost': ['LCC'], 'damage': '110', 'effect': 'Discard a [L] Energy from this Pokémon.'}]",Fighting,2,Yoshinobu Saito,"As it zooms through the sky, this Pokémon seems to be receiving signals of unknown origin while transmitting signals of unknown purpose.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_053_EN.webp,◊◊◊,,cards/space-time-smackdown/53.webp
Voltorb,Lightning,Space-Time Smackdown,A2,54,Pokémon - Basic,60,"[{'name': 'Big Explosion', 'cost': ['L'], 'damage': '30', 'effect': 'This Pokémon also does 10 damage to itself.'}]",Fighting,1,Midori Harada,"It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_054_EN.webp,◊,,cards/space-time-smackdown/54.webp
Electrode,Lightning,Space-Time Smackdown,A2,55,Pokémon - Stage 1 - Evolves from Voltorb,80,"[{'name': 'Rolling Attack', 'cost': ['L'], 'damage': '50', 'effect': ''}]",Fighting,1,Anesaki Dynamic,"The more energy it charges up, the faster it gets. But this also makes it more likely to explode.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_055_EN.webp,◊◊,,cards/space-time-smackdown/55.webp
Electabuzz,Lightning,Space-Time Smackdown,A2,56,Pokémon - Basic,80,"[{'name': 'Charge', 'cost': ['L'], 'damage': '0', 'effect': 'Take a [L] Energy from your Energy Zone and attach it to this Pokémon.'}]",Fighting,2,Shin Nagasawa,Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_056_EN.webp,◊,Dialga,cards/space-time-smackdown/56.webp
Electivire,Lightning,Space-Time Smackdown,A2,57,Pokémon - Stage 1 - Evolves from Electabuzz,120,"[{'name': 'Exciting Voltage', 'cost': ['LL'], 'damage': '40+', 'effect': 'If this Pokémon has at least 2 extra [L] Energy attached, this attack does 80 more damage.'}]",Fighting,3,kawayoo,The amount of electrical energy this Pokémon produces is proportional to the rate of its pulse. The voltage jumps while Electivire is battling.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_057_EN.webp,◊◊◊,Dialga,cards/space-time-smackdown/57.webp
Shinx,Lightning,Space-Time Smackdown,A2,58,Pokémon - Basic,60,"[{'name': 'Hide', 'cost': ['L'], 'damage': '0', 'effect': ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.""}]",Fighting,1,Shibuzoh.,The extension and contraction of its muscles generates electricity. It glows when in trouble.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_058_EN.webp,◊,Dialga,cards/space-time-smackdown/58.webp
Luxio,Lightning,Space-Time Smackdown,A2,59,Pokémon - Stage 1 - Evolves from Shinx,90,"[{'name': 'Electric Claws', 'cost': ['LC'], 'damage': '40', 'effect': ''}]",Fighting,1,Naoki Saito,Strong electricity courses through the tips of its sharp claws. A light scratch causes fainting in foes.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_059_EN.webp,◊◊,Dialga,cards/space-time-smackdown/59.webp
Luxray,Lightning,Space-Time Smackdown,A2,60,Pokémon - Stage 2 - Evolves from Luxio,130,"[{'name': 'Volt Bolt', 'cost': ['LLL'], 'damage': '0', 'effect': ""Discard all [L] Energy from this Pokémon. This attack does 120 damage to 1 of your opponent's Pokémon.""}]",Fighting,0,Hitoshi Ariga,It can see clearly through walls to track down its prey and seek its lost young.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_060_EN.webp,◊◊◊,Dialga,cards/space-time-smackdown/60.webp
Pachirisu ex,Lightning,Space-Time Smackdown,A2,61,Pokémon - Basic,120,"[{'name': 'Sparking Gadget', 'cost': ['LL'], 'damage': '40+', 'effect': 'If this Pokémon has a Pokémon Tool attached, this attack does 40 more damage.'}]",Fighting,1,PLANETA Tsuji,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_061_EN.webp,◊◊◊◊,Dialga,cards/space-time-smackdown/61.webp
Rotom,Lightning,Space-Time Smackdown,A2,62,Pokémon - Basic,70,"[{'name': 'Assault Laser', 'cost': ['C'], 'damage': '20+', 'effect': ""If your opponent's Active Pokémon has a Pokémon Tool attached, this attack does 30 more damage.""}]",Fighting,1,Krgc,Its electricity-like body can enter some kinds of machines and take control in order to make mischief.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_062_EN.webp,◊,Palkia,cards/space-time-smackdown/62.webp
Togepi,Psychic,Space-Time Smackdown,A2,63,Pokémon - Basic,50,"[{'name': 'Pound', 'cost': ['P'], 'damage': '20', 'effect': ''}]",Metal,1,Narumi Sato,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_063_EN.webp,◊,,cards/space-time-smackdown/63.webp
Togetic,Psychic,Space-Time Smackdown,A2,64,Pokémon - Stage 1 - Evolves from Togepi,80,"[{'name': 'Fairy Wind', 'cost': ['P'], 'damage': '40', 'effect': ''}]",Metal,1,Kanako Eo,"They say that it will appear before kindhearted, caring people and shower them with happiness.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_064_EN.webp,◊◊,,cards/space-time-smackdown/64.webp
Togekiss,Psychic,Space-Time Smackdown,A2,65,Pokémon - Stage 2 - Evolves from Togetic,140,"[{'name': 'Overdrive Smash', 'cost': ['PP'], 'damage': '60', 'effect': ""During your next turn, this Pokémon's Overdrive Smash attack does +60 damage.""}]",Metal,1,kawayoo,"These Pokémon are never seen anywhere near conflict or turmoil. In recent times, they’ve hardly been seen at all.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_065_EN.webp,◊◊◊,,cards/space-time-smackdown/65.webp
Misdreavus,Psychic,Space-Time Smackdown,A2,66,Pokémon - Basic,60,"[{'name': 'Mumble', 'cost': ['P'], 'damage': '20', 'effect': ''}]",Darkness,1,Sumiyoshi Kizuki,This Pokémon startles people in the middle of the night. It gathers fear as its energy.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_066_EN.webp,◊,Palkia,cards/space-time-smackdown/66.webp
Mismagius ex,Psychic,Space-Time Smackdown,A2,67,Pokémon - Stage 1 - Evolves from Misdreavus,140,"[{'name': 'Magical Delusion', 'cost': ['PP'], 'damage': '70', 'effect': ""Your opponent's Active Pokémon is now Confused.""}]",Darkness,1,PLANETA Igarashi,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_067_EN.webp,◊◊◊◊,Palkia,cards/space-time-smackdown/67.webp
Ralts,Psychic,Space-Time Smackdown,A2,68,Pokémon - Basic,60,"[{'name': 'Teleport', 'cost': ['C'], 'damage': '0', 'effect': 'Switch this Pokémon with 1 of your Benched Pokémon.'}]",Darkness,1,Miki Tanaka,The horns on its head provide a strong power that enables it to sense people’s emotions.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_068_EN.webp,◊,Dialga,cards/space-time-smackdown/68.webp
Kirlia,Psychic,Space-Time Smackdown,A2,69,Pokémon - Stage 1 - Evolves from Ralts,80,"[{'name': 'Slap', 'cost': ['C'], 'damage': '20', 'effect': ''}]",Darkness,1,Yukiko Baba,It has a psychic power that enables it to distort the space around it and see into the future.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_069_EN.webp,◊,Dialga,cards/space-time-smackdown/69.webp
Duskull,Psychic,Space-Time Smackdown,A2,70,Pokémon - Basic,60,"[{'name': 'Will-O-Wisp', 'cost': ['P'], 'damage': '20', 'effect': ''}]",Darkness,1,ryoma uratsuka,"If it finds bad children who won’t listen to their parents, it will spirit them away—or so it’s said.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_070_EN.webp,◊,Dialga,cards/space-time-smackdown/70.webp
Dusclops,Psychic,Space-Time Smackdown,A2,71,Pokémon - Stage 1 - Evolves from Duskull,90,"[{'name': 'Psypunch', 'cost': ['PCC'], 'damage': '50', 'effect': ''}]",Darkness,2,Sumiyoshi Kizuki,It seeks drifting will-o’-the-wisps and sucks them into its empty body. What happens inside is a mystery.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_071_EN.webp,◊◊,Dialga,cards/space-time-smackdown/71.webp
Dusknoir,Psychic,Space-Time Smackdown,A2,72,Pokémon - Stage 2 - Evolves from Dusclops,130,"[{'name': 'Devour Soul', 'cost': ['PCC'], 'damage': '70', 'effect': ''}]",Darkness,2,Suwama Chiaki,"At the bidding of transmissions from the spirit world, it steals people and Pokémon away. No one knows whether it has a will of its own.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_072_EN.webp,◊◊◊,Dialga,cards/space-time-smackdown/72.webp
Drifloon,Psychic,Space-Time Smackdown,A2,73,Pokémon - Basic,50,"[{'name': 'Expand', 'cost': ['P'], 'damage': '10', 'effect': ""During your opponent's next turn, this Pokémon takes −20 damage from attacks.""}]",Lightning,1,Atsuko Nishida,It is whispered that any child who mistakes Drifloon for a balloon and holds on to it could wind up missing.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_073_EN.webp,◊,Dialga,cards/space-time-smackdown/73.webp
Drifblim,Psychic,Space-Time Smackdown,A2,74,Pokémon - Stage 1 - Evolves from Drifloon,100,"[{'name': 'Balloon Strike', 'cost': ['PP'], 'damage': '60', 'effect': ''}]",Lightning,1,Miki Tanaka,"Some say this Pokémon is a collection of souls burdened with regrets, silently drifting through the dusk.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_074_EN.webp,◊◊,Dialga,cards/space-time-smackdown/74.webp
Uxie,Psychic,Space-Time Smackdown,A2,75,Pokémon - Basic,70,"[{'name': 'Mind Boost', 'cost': ['P'], 'damage': '20', 'effect': 'Take a [P] Energy from your Energy Zone and attach it to Mesprit or Azelf.'}]",Darkness,1,AKIRA EGAWA,Known as “The Being of Knowledge.” It is said that it can wipe out the memory of those who see its eyes.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_075_EN.webp,◊◊,,cards/space-time-smackdown/75.webp
Mesprit,Psychic,Space-Time Smackdown,A2,76,Pokémon - Basic,70,"[{'name': 'Supreme Blast', 'cost': ['PPP'], 'damage': '160', 'effect': 'You can use this attack only if you have Uxie and Azelf on your Bench. Discard all Energy from this Pokémon.'}]",Darkness,1,AKIRA EGAWA,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_076_EN.webp,◊◊◊,,cards/space-time-smackdown/76.webp
Azelf,Psychic,Space-Time Smackdown,A2,77,Pokémon - Basic,70,"[{'name': 'Psychic Arrow', 'cost': ['P'], 'damage': '0', 'effect': ""This attack does 20 damage to 1 of your opponent's Pokémon.""}]",Darkness,1,AKIRA EGAWA,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_077_EN.webp,◊◊,,cards/space-time-smackdown/77.webp
Giratina,Psychic,Space-Time Smackdown,A2,78,Pokémon - Basic,120,"[{'name': 'Spooky Shot', 'cost': ['PPC'], 'damage': '70', 'effect': ''}]",Darkness,3,AKIRA EGAWA,"This Pokémon is said to live in a world on the reverse side of ours, where common knowledge is distorted and strange.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_078_EN.webp,◊◊◊,Palkia,cards/space-time-smackdown/78.webp
Cresselia,Psychic,Space-Time Smackdown,A2,79,Pokémon - Basic,110,"[{'name': 'Moonlight Gain', 'cost': ['PP'], 'damage': '50', 'effect': 'Heal 20 damage from this Pokémon.'}]",Darkness,2,Masako Tomii,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_079_EN.webp,◊◊◊,Palkia,cards/space-time-smackdown/79.webp
Rhyhorn,Fighting,Space-Time Smackdown,A2,80,Pokémon - Basic,80,"[{'name': 'Horn Attack', 'cost': ['FC'], 'damage': '40', 'effect': ''}]",Grass,3,otumami,"Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging tackles.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_080_EN.webp,◊,Palkia,cards/space-time-smackdown/80.webp
Rhydon,Fighting,Space-Time Smackdown,A2,81,Pokémon - Stage 1 - Evolves from Rhyhorn,110,"[{'name': 'Wrack Down', 'cost': ['FFC'], 'damage': '70', 'effect': ''}]",Grass,3,Oswaldo KATO,It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_081_EN.webp,◊◊,Palkia,cards/space-time-smackdown/81.webp
Rhyperior,Fighting,Space-Time Smackdown,A2,82,Pokémon - Stage 2 - Evolves from Rhydon,160,"[{'name': 'Mountain Swing', 'cost': ['FFFC'], 'damage': '150', 'effect': 'Discard the top 3 cards of your deck.'}]",Grass,4,Naoki Saito,It can load up to three projectiles per arm into the holes in its hands. What launches out of those holes could be either rocks or Roggenrola.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_082_EN.webp,◊◊◊,Palkia,cards/space-time-smackdown/82.webp
Gligar,Fighting,Space-Time Smackdown,A2,83,Pokémon - Basic,60,"[{'name': 'Pierce', 'cost': ['F'], 'damage': '20', 'effect': ''}]",Grass,1,Sanosuke Sakuma,"It usually clings to cliffs. When it spots its prey, it spreads its wings and glides down to attack.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_083_EN.webp,◊,Dialga,cards/space-time-smackdown/83.webp
Gliscor,Fighting,Space-Time Smackdown,A2,84,Pokémon - Stage 1 - Evolves from Gligar,100,"[{'name': 'Acrobatics', 'cost': ['F'], 'damage': '20+', 'effect': 'Flip 2 coins. This attack does 20 more damage for each heads.'}]",Grass,2,Mizue,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_084_EN.webp,◊◊,Dialga,cards/space-time-smackdown/84.webp
Hitmontop,Fighting,Space-Time Smackdown,A2,85,Pokémon - Basic,80,"[{'name': 'Spinning Attack', 'cost': ['FF'], 'damage': '50', 'effect': ''}]",Psychic,1,sowsow,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_085_EN.webp,◊,Dialga,cards/space-time-smackdown/85.webp
Nosepass,Fighting,Space-Time Smackdown,A2,86,Pokémon - Basic,70,"[{'name': 'Ram', 'cost': ['CC'], 'damage': '30', 'effect': ''}]",Grass,2,Midori Harada,"It moves less than an inch a year, but when it’s in a jam, it will spin and drill down into the ground in a split second.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_086_EN.webp,◊,,cards/space-time-smackdown/86.webp
Regirock,Fighting,Space-Time Smackdown,A2,87,Pokémon - Basic,120,"[{'name': 'Boulder Crush', 'cost': ['FFFC'], 'damage': '100', 'effect': ''}]",Grass,3,Tomokazu Komiya,"Every bit of Regirock’s body is made of stone. As parts of its body erode, this Pokémon sticks rocks to itself to repair what’s been lost.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_087_EN.webp,◊◊,,cards/space-time-smackdown/87.webp
Cranidos,Fighting,Space-Time Smackdown,A2,88,Pokémon - Stage 1 - Evolves from Skull Fossil,90,"[{'name': 'Headbutt', 'cost': ['F'], 'damage': '50', 'effect': ''}]",Grass,2,Kouki Saitou,"A primeval Pokémon, it possesses a hard and sturdy skull, lacking any intelligence within.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_088_EN.webp,◊◊,Dialga,cards/space-time-smackdown/88.webp
Rampardos,Fighting,Space-Time Smackdown,A2,89,Pokémon - Stage 2 - Evolves from Cranidos,150,"[{'name': 'Head Smash', 'cost': ['F'], 'damage': '130', 'effect': ""If your opponent's Pokémon is Knocked Out by damage from this attack, this Pokémon also does 50 damage to itself.""}]",Grass,2,Yoshinobu Saito,"In ancient times, people would dig up fossils of this Pokémon and use its skull, which is harder than steel, to make helmets.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_089_EN.webp,◊◊◊,Dialga,cards/space-time-smackdown/89.webp
Wormadam,Fighting,Space-Time Smackdown,A2,90,Pokémon - Stage 1 - Evolves from Burmy,120,"[{'name': 'Land Crush', 'cost': ['FCC'], 'damage': '70', 'effect': ''}]",Grass,2,Hajime Kusajima,Its appearance changes depending on where it evolved. The materials on hand become a part of its body.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_090_EN.webp,◊,Dialga,cards/space-time-smackdown/90.webp
Riolu,Fighting,Space-Time Smackdown,A2,91,Pokémon - Basic,60,"[{'name': 'Jab', 'cost': ['F'], 'damage': '20', 'effect': ''}]",Psychic,1,AKIRA EGAWA,They communicate with one another using their auras. They are able to run all through the night.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_091_EN.webp,◊,Dialga,cards/space-time-smackdown/91.webp
Lucario,Fighting,Space-Time Smackdown,A2,92,Pokémon - Stage 1 - Evolves from Riolu,100,"[{'name': 'Submarine Blow', 'cost': ['FF'], 'damage': '40', 'effect': ''}]",Psychic,2,nagimiso,"It’s said that no foe can remain invisible to Lucario, since it can detect auras—even those of foes it could not otherwise see.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_092_EN.webp,◊◊◊,Dialga,cards/space-time-smackdown/92.webp
Hippopotas,Fighting,Space-Time Smackdown,A2,93,Pokémon - Basic,80,"[{'name': 'Rolling Tackle', 'cost': ['FFC'], 'damage': '60', 'effect': ''}]",Grass,3,Akira Komayama,"It shuts its nostrils tight, then travels through sand as if walking. They form colonies of around 10.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_093_EN.webp,◊,Palkia,cards/space-time-smackdown/93.webp
Hippowdon,Fighting,Space-Time Smackdown,A2,94,Pokémon - Stage 1 - Evolves from Hippopotas,140,"[{'name': 'Earthen Press', 'cost': ['FFFC'], 'damage': '120', 'effect': ''}]",Grass,4,KEIICHIRO ITO,It is surprisingly quick to anger. It holds its mouth agape as a display of its strength.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_094_EN.webp,◊◊,Palkia,cards/space-time-smackdown/94.webp
Gallade ex,Fighting,Space-Time Smackdown,A2,95,Pokémon - Stage 2 - Evolves from Kirlia,170,"[{'name': 'Energized Blade', 'cost': ['FF'], 'damage': '70+', 'effect': ""This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.""}]",Psychic,1,PLANETA CG Works,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_095_EN.webp,◊◊◊◊,Dialga,cards/space-time-smackdown/95.webp
Murkrow,Darkness,Space-Time Smackdown,A2,96,Pokémon - Basic,60,"[{'name': 'Peck', 'cost': ['D'], 'damage': '20', 'effect': ''}]",Lightning,1,Yukiko Baba,"Feared and loathed by many, it is believed to bring misfortune to all those who see it at night.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_096_EN.webp,◊,Dialga,cards/space-time-smackdown/96.webp
Honchkrow,Darkness,Space-Time Smackdown,A2,97,Pokémon - Stage 1 - Evolves from Murkrow,100,"[{'name': 'Skill Dive', 'cost': ['DD'], 'damage': '0', 'effect': ""This attack does 50 damage to 1 of your opponent's Pokémon.""}]",Lightning,2,Hideki Ishikawa,It is merciless by nature. It is said that it never forgives the mistakes of its Murkrow followers.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2/A2_097_EN.webp,◊◊,Dialga,cards/space-time-smackdown/97.webp
